timestamp,reporting_period,utility_name,residential_accounts,disconnections,disconnection_rate
2006-03-01,Mar 2006,Dominion Energy,99114.0,250.0,0.0025223480033093205
2006-04-01,Apr 2006,Dominion Energy,99154.0,317.0,0.003197047017770337
2006-04-01,Apr 2006,Duke Energy Progress,,7283.0,
2006-04-01,Apr 2006,Duke Energy Carolinas,,9156.0,
2006-05-01,May 2006,Duke Energy Carolinas,,11905.0,
2006-05-01,May 2006,Dominion Energy,99174.0,502.0,0.005061810555185835
2006-05-01,May 2006,Duke Energy Progress,,8919.0,
2006-06-01,Jun 2006,Duke Energy Progress,,7490.0,
2006-06-01,Jun 2006,Duke Energy Carolinas,,10158.0,
2006-06-01,Jun 2006,Dominion Energy,99216.0,448.0,0.004515400741815836
2006-07-01,Jul 2006,Duke Energy Progress,,6441.0,
2006-07-01,Jul 2006,Dominion Energy,99392.0,149.0,0.001499114616870573
2006-07-01,Jul 2006,Duke Energy Carolinas,,7867.0,
2006-08-01,Aug 2006,Duke Energy Carolinas,,9078.0,
2006-08-01,Aug 2006,Dominion Energy,99451.0,468.0,0.004705835034338518
2006-08-01,Aug 2006,Duke Energy Progress,,7747.0,
2006-09-01,Sep 2006,Duke Energy Progress,,8884.0,
2006-09-01,Sep 2006,Dominion Energy,99458.0,463.0,0.004655231353938346
2006-09-01,Sep 2006,Duke Energy Carolinas,,9063.0,
2006-10-01,Oct 2006,Duke Energy Progress,,10498.0,
2006-10-01,Oct 2006,Dominion Energy,99370.0,696.0,0.007004125993760693
2006-10-01,Oct 2006,Duke Energy Carolinas,,12327.0,
2006-11-01,Nov 2006,Dominion Energy,99471.0,414.0,0.004162017070301897
2006-11-01,Nov 2006,Duke Energy Progress,,10361.0,
2006-11-01,Nov 2006,Duke Energy Carolinas,,11553.0,
2006-12-01,Dec 2006,Dominion Energy,99570.0,168.0,0.001687255197348599
2006-12-01,Dec 2006,Duke Energy Carolinas,,9070.0,
2006-12-01,Dec 2006,Duke Energy Progress,,8256.0,
2007-01-01,Jan 2007,Duke Energy Carolinas,,8524.0,
2007-01-01,Jan 2007,Dominion Energy,99668.0,233.0,0.0023377613677408996
2007-01-01,Jan 2007,Duke Energy Progress,,8770.0,
2007-02-01,Feb 2007,Duke Energy Carolinas,,8626.0,
2007-02-01,Feb 2007,Dominion Energy,99711.00000000001,390.0,0.003911303667599362
2007-02-01,Feb 2007,Duke Energy Progress,,7687.0,
2007-03-01,Mar 2007,Duke Energy Carolinas,,11874.0,
2007-03-01,Mar 2007,Duke Energy Progress,,10607.0,
2007-03-01,Mar 2007,Dominion Energy,99538.0,552.0,0.005545620767947919
2007-04-01,Apr 2007,Duke Energy Carolinas,,9148.0,
2007-04-01,Apr 2007,Duke Energy Progress,,9632.0,
2007-04-01,Apr 2007,Dominion Energy,99503.0,580.0,0.005828969980804599
2007-05-01,May 2007,Duke Energy Carolinas,,13649.0,
2007-05-01,May 2007,Dominion Energy,99574.0,508.0,0.005101733384216763
2007-05-01,May 2007,Duke Energy Progress,,10607.0,
2007-06-01,Jun 2007,Dominion Energy,99704.0,369.0,0.003700954826285806
2007-06-01,Jun 2007,Duke Energy Progress,,8261.0,
2007-06-01,Jun 2007,Duke Energy Carolinas,,10278.0,
2007-07-01,Jul 2007,Dominion Energy,99907.0,310.0,0.0031028856836858277
2007-07-01,Jul 2007,Duke Energy Progress,,8100.0,
2007-07-01,Jul 2007,Duke Energy Carolinas,,9962.0,
2007-08-01,Aug 2007,Duke Energy Progress,,7998.0,
2007-08-01,Aug 2007,Duke Energy Carolinas,,10158.0,
2007-08-01,Aug 2007,Dominion Energy,100089.0,362.0,0.0036167810648522814
2007-09-01,Sep 2007,Dominion Energy,100140.0,334.0,0.003335330537247853
2007-09-01,Sep 2007,Duke Energy Progress,,9633.0,
2007-09-01,Sep 2007,Duke Energy Carolinas,,10667.0,
2007-10-01,Oct 2007,Dominion Energy,100130.0,448.0,0.004474183561370219
2007-10-01,Oct 2007,Duke Energy Carolinas,,14393.0,
2007-10-01,Oct 2007,Duke Energy Progress,,11144.0,
2007-11-01,Nov 2007,Duke Energy Progress,,10189.0,
2007-11-01,Nov 2007,Duke Energy Carolinas,,12584.0,
2007-11-01,Nov 2007,Dominion Energy,100205.0,302.0,0.0030138216655855496
2007-12-01,Dec 2007,Duke Energy Progress,,7196.0,
2007-12-01,Dec 2007,Dominion Energy,100239.0,290.0,0.0028930855255938307
2007-12-01,Dec 2007,Duke Energy Carolinas,,9983.0,
2008-01-01,Jan 2008,Duke Energy Progress,,7814.0,
2008-01-01,Jan 2008,Dominion Energy,100358.0,219.0,0.002182187767791307
2008-01-01,Jan 2008,Duke Energy Carolinas,,10593.0,
2008-02-01,Feb 2008,Duke Energy Progress,,7474.0,
2008-02-01,Feb 2008,Dominion Energy,100388.00000000001,410.0,0.0040841534844802165
2008-02-01,Feb 2008,Duke Energy Carolinas,,9343.0,
2008-03-01,Mar 2008,Dominion Energy,100330.0,502.0,0.005003488487989634
2008-03-01,Mar 2008,Duke Energy Progress,,7843.0,
2008-03-01,Mar 2008,Duke Energy Carolinas,,10972.0,
2008-04-01,Apr 2008,Dominion Energy,100351.0,415.0,0.004135484449581967
2008-04-01,Apr 2008,Duke Energy Progress,,10137.0,
2008-04-01,Apr 2008,Duke Energy Carolinas,,12591.0,
2008-05-01,May 2008,Duke Energy Carolinas,,11913.0,
2008-05-01,May 2008,Dominion Energy,100302.0,520.0,0.005184343283284481
2008-05-01,May 2008,Duke Energy Progress,,8769.0,
2008-06-01,Jun 2008,Duke Energy Progress,,7561.0,
2008-06-01,Jun 2008,Duke Energy Carolinas,,11118.0,
2008-06-01,Jun 2008,Dominion Energy,100379.0,598.0,0.005957421372996344
2008-07-01,Jul 2008,Dominion Energy,100504.0,313.0,0.003114303908302157
2008-07-01,Jul 2008,Duke Energy Progress,,7029.0,
2008-07-01,Jul 2008,Duke Energy Carolinas,,10715.0,
2008-08-01,Aug 2008,Duke Energy Progress,,7491.0,
2008-08-01,Aug 2008,Duke Energy Carolinas,,10003.0,
2008-08-01,Aug 2008,Dominion Energy,100648.0,283.0,0.002811779667752961
2008-09-01,Sep 2008,Dominion Energy,100687.0,231.0,0.002294238580948881
2008-09-01,Sep 2008,Duke Energy Progress,,7920.0,
2008-09-01,Sep 2008,Duke Energy Carolinas,,12892.0,
2008-10-01,Oct 2008,Duke Energy Progress,,9579.0,
2008-10-01,Oct 2008,Dominion Energy,100705.0,342.0,0.003396057792562435
2008-10-01,Oct 2008,Duke Energy Carolinas,,14290.0,
2008-11-01,Nov 2008,Duke Energy Progress,,8410.0,
2008-11-01,Nov 2008,Dominion Energy,100685.0,174.0,0.0017281620896856533
2008-11-01,Nov 2008,Duke Energy Carolinas,,10635.0,
2008-12-01,Dec 2008,Duke Energy Progress,,,
2008-12-01,Dec 2008,Dominion Energy,100629.0,357.0,0.0035476850609665205
2008-12-01,Dec 2008,Duke Energy Carolinas,,11121.0,
2009-01-01,Jan 2009,Duke Energy Carolinas,,7665.0,
2009-01-01,Jan 2009,Duke Energy Progress,,6230.0,
2009-01-01,Jan 2009,Dominion Energy,100738.0,170.0,0.0016875459111755247
2009-02-01,Feb 2009,Duke Energy Carolinas,,10292.0,
2009-02-01,Feb 2009,Duke Energy Progress,,6591.0,
2009-02-01,Feb 2009,Dominion Energy,100829.0,233.0,0.0023108431106130182
2009-03-01,Mar 2009,Duke Energy Progress,,7398.0,
2009-03-01,Mar 2009,Dominion Energy,100859.0,244.0,0.002419218909566821
