reporting_period,utility_type,service_provider,residential_accounts,total_arrears_thirty_days,residential_repayment_plan_accounts,residential_good_standing_repayment_plan_accounts,repayment_plan_balance,residential_accounts_disconnected_for_nonpayment,residential_accounts_reconnected,residential_accounts_reconnected_<24h,residential_accounts_disconnected_>7d,vulnerable_customer_accounts,past_due_accounts,thirty_days_balances_no_rp,total_arrears_thirty_days_no_rp,thirty_days_balances_rp,total_arrears_thirty_days_rp,sixty_days_balances_no_rp,total_arrears_sixty_days_no_rp,sixty_days_balances_rp,total_arrears_sixty_days_rp,notified_accounts,vulnerable_disconnections,residential_accounts_reconnected_24h_to_48h,residential_accounts_reconnected_>48h,multi_disconnections,avg_reconnection_time,thirty_days_balances,sixty_days_balances,long_term_arrears_ratio,sixty_days_arrears_rp_ratio,thirty_days_arrears_rp_ratio,rp_balance_per_account,account_disconnection_rate,>24h_disconnection_rate,total_arrears_sixty_days,thirty_day_arrear_account_ratio,sixty_day_arrear_account_ratio,rp_balance_per_all_account,average_arrears_thirty_days,average_arrears_sixty_days,average_thirty_day_arrear_balance,average_sixty_day_arrear_balance,total_arrears
2022-09-30,Electric,Duke Energy Progress,1294840.0,28738459.0,42525.0,,35676331.0,3472.0,,142.0,,,229400.0,91260.0,24234195.0,2538.0,4504264.0,93814.0,38430069.0,41788.0,26746150.0,36088.0,,43.0,193.0,540.0,1.38,93798.0,135602.0,1.4456811445873046,0.3081665462161325,0.027058146229130685,838.9495825984715,0.0026814123752741652,0.9591013824884793,65176219.0,0.07243983812671836,0.10472490809675326,27.55269454141052,22.194602421920855,50.33534567977511,306.3866926800145,480.64349345879856,93914678.0
2022-09-30,Electric,Total,3239795.0,75577555.66,113518.0,,92379332.98,10300.0,,522.0,,0.0,619211.0,244671.0,61507395.230000004,10012.0,14070160.43,253178.0,100242502.34,110493.0,69507191.22,109750.0,0.0,157.0,613.0,2890.0,5.64,254683.0,363671.0,1.4279359046343887,0.3038268104963002,0.03931161483098597,813.7857694814919,0.0031792134996195746,0.9493203883495146,169749693.56,0.07861083803141865,0.1122512381184612,28.51394393163765,23.32788206043901,52.39519585652796,296.75147402849814,466.7671977144177,245327249.22
2022-10-31,Electric,Dominion Energy,106671.0,10207561.27,5510.0,,5131670.06,162.0,,43.0,,0.0,19713.0,7396.0,6135022.14,4718.0,4072539.13,3970.0,4940358.76,3681.0,3100317.42,6722.0,0.0,3.0,116.0,25.0,7.82,12114.0,7651.0,0.631583292058775,0.4811135799241929,0.38946673270596005,931.3375789473683,0.0015186883032876789,0.7345679012345678,8040676.18,0.11356413645695644,0.07172521116329648,48.10745244724433,95.6919994187736,75.3782769449991,842.6251667492157,1050.931405045092,18248237.45
2022-10-31,Electric,Duke Energy Carolinas,1840924.0,38145688.0,68284.0,,54668203.0,5842.0,,282.0,,,358690.0,160255.0,32420613.0,2338.0,5725075.0,131770.0,47965960.0,64327.0,39779871.0,74271.0,,107.0,326.0,3133.0,0.76,162593.0,196097.0,1.2060605315111967,0.3280366349306721,0.014379462830503158,800.6004774178431,0.0031734063980913933,0.9517288599794591,87745831.0,0.08832140816242279,0.10652096447218896,29.69606730098581,20.72094665504931,47.66401600500618,234.60842717706174,447.4613635088757,125891519.0
2022-10-31,Electric,Duke Energy Progress,1297190.0,28804253.0,44446.0,,38185627.0,3139.0,,181.0,,,221689.0,97336.0,24297379.0,2088.0,4506874.0,80769.0,34485003.0,41496.0,26878237.0,41503.0,,47.0,177.0,1014.0,0.88,99424.0,122265.0,1.2297332635983265,0.3393939393939394,0.021000965561635016,859.146537371192,0.0024198459747608292,0.9423383243071042,61363240.0,0.07664567256916874,0.09425373306917259,29.43718884666086,22.205114902211704,47.3047433298129,289.7112668973286,501.8872122030017,90167493.0
2022-10-31,Electric,Total,3244785.0,77157502.27,118240.0,,97985500.06,9143.0,,506.0,,0.0,600092.0,264987.0,62853014.14,9144.0,14304488.129999999,216509.0,87391321.75999999,109504.0,69758425.42,122496.0,0.0,157.0,619.0,4172.0,9.46,274131.0,326013.0,1.1892598794007245,0.3358884461662572,0.03335631504645589,828.7001019959405,0.0028177521777251807,0.9446571147325823,157149747.18,0.08448356362594132,0.1004729126891304,30.19784055338027,23.77892595965526,48.43148226461846,281.46215594004326,482.03521693920186,234307249.45
2022-11-30,Electric,Dominion Energy,106794.0,9848359.0,5330.0,,4424565.19,146.0,,51.0,,0.0,18812.0,7673.0,6214339.54,4597.0,3634019.46,4213.0,5066772.41,3593.0,2775439.83,5788.0,0.0,5.0,90.0,27.0,7.78,12270.0,7806.0,0.6361858190709047,0.46028695874967973,0.37465362673186636,830.1248011257037,0.0013671180028840572,0.6506849315068493,7842212.24,0.11489409517388617,0.07309399404460924,41.43084059029534,92.2182800531865,73.43307901192951,802.6372453137734,1004.6390263899565,17690571.240000002
2022-11-30,Electric,Duke Energy Carolinas,1844075.0,34599730.0,68301.0,,53107414.0,4823.0,,222.0,,3.0,385947.0,181702.0,30349918.0,1746.0,4249812.0,138183.0,49241520.0,64316.0,38685295.0,56481.0,,67.0,181.0,3731.0,0.93,183448.0,202499.0,1.103849592255026,0.3176114449947901,0.009517683485238324,777.5495819973353,0.002615403386521698,0.9539705577441426,87926815.0,0.09947968493689248,0.10981060965524721,28.79894472838686,18.76264794002413,47.680715263750116,188.60783437268327,434.2086380673485,122526545.0
2022-11-30,Electric,Duke Energy Progress,1299890.0,24906979.0,45013.0,,37929369.0,2960.0,,148.0,,15.0,239444.0,112190.0,21491702.0,1573.0,3415277.0,83227.0,34484461.0,42454.0,27403662.0,31409.0,,48.0,129.0,1448.0,1.57,113763.0,125681.0,1.1047616536132134,0.3377917107597807,0.0138269912010056,842.6314398062782,0.0022771157559485803,0.95,61888123.0,0.0875174053189116,0.09668587342005862,29.1789066767188,19.160835916885276,47.610277023440446,218.93743132652972,492.42226748673227,86795102.0
2022-11-30,Electric,Total,3250759.0,69355068.0,118644.0,,95461348.19,7929.0,,421.0,,18.0,644203.0,301565.0,58055959.54,7916.0,11299108.46,225623.0,88792753.41,110363.0,68864396.83,93678.0,0.0,120.0,400.0,5206.0,10.280000000000001,309481.0,335986.0,1.0856433836002857,0.32847499598197544,0.025578306907370726,804.6032516604295,0.0024391226787344126,0.9469037709673351,157657150.24,0.09520268958726254,0.10335617005136338,29.365864461191986,21.335038371038888,48.49856610102441,224.10121461414434,469.23726060014405,227012218.24
